workload,input,output_tokens,mapping_group,mapping,metric,stat,value,unit
Decode-heavy,1024x1024,1024,Homogeneous A100,"E/P/D (E=A100, P=A100, D=A100)",Request Latency,p90,18061.9,ms
Decode-heavy,1024x1024,1024,Homogeneous A100,"E/P/D (E=A100, P=A100, D=A100)",Request Latency,p99,18172.3,ms
Decode-heavy,1024x1024,1024,H100-based / Heterogeneous,"AGG (1xH100)",Request Latency,avg,11711.7,ms
Decode-heavy,1024x1024,1024,H100-based / Heterogeneous,"AGG (1xH100)",Request Latency,p90,11752.3,ms
Decode-heavy,1024x1024,1024,H100-based / Heterogeneous,"AGG (1xH100)",Request Latency,p99,11769.7,ms
Decode-heavy,1024x1024,1024,H100-based / Heterogeneous,"E/PD (E=A100, PD=H100)",Request Latency,avg,11748.0,ms
Decode-heavy,1024x1024,1024,H100-based / Heterogeneous,"E/PD (E=A100, PD=H100)",Request Latency,p90,11765.3,ms
Decode-heavy,1024x1024,1024,H100-based / Heterogeneous,"E/PD (E=A100, PD=H100)",Request Latency,p99,11855.8,ms
Decode-heavy,1024x1024,1024,H100-based / Heterogeneous,"E/P/D (E=A100, P=A100, D=H100)",Request Latency,avg,12090.0,ms
Decode-heavy,1024x1024,1024,H100-based / Heterogeneous,"E/P/D (E=A100, P=A100, D=H100)",Request Latency,p90,12131.8,ms
Decode-heavy,1024x1024,1024,H100-based / Heterogeneous,"E/P/D (E=A100, P=A100, D=H100)",Request Latency,p99,12357.2,ms
